Year,ICPSR State Code,Alphanumeric State Code,Abbrv,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP)
2008,48,41,SC,South Carolina,0.5820000000000001,0.58,0.5529999999999999,1927153.0,1920969.0,3311044,3473488
2008,37,42,SD,South Dakota,0.6559999999999999,0.647,0.634,387449.0,381975.0,590720,602539
2008,54,43,TN,Tennessee,0.574,0.57,0.545,2618238.0,2599749.0,4563192,4771926
2008,67,45,UT,Utah,0.5710000000000001,0.56,0.518,971185.0,952370.0,1700286,1840087
2008,6,46,VT,Vermont,0.677,0.6729999999999999,0.66,326822.0,325046.0,482677,492610
2008,40,47,VA,Virginia,0.6759999999999999,0.67,0.618,3753059.0,3723260.0,5555415,6022123
2008,73,48,WA,Washington,0.6729999999999999,0.6659999999999999,0.603,3071587.0,3036878.0,4561163,5032960
2008,56,49,WV,West Virginia,0.512,0.499,0.491,731691.0,713362.0,1430439,1453045
2008,25,50,WI,Wisconsin,0.727,0.7240000000000001,0.693,2997086.0,2983417.0,4120694,4306876
2008,68,51,WY,Wyoming,0.631,0.628,0.609,256035.0,254658.0,405732,418040
2006,0,0,US,United States,0.413,0.40399999999999997,0.37200000000000005,85769132.0,83815592.0,207643594,225485399
2006,81,2,AK,Alaska,0.512,0.51,0.478,238307.0,237322.0,465169,492452
2006,61,3,AZ,Arizona,0.396,0.389,0.33299999999999996,1553032.0,1526782.0,3923786,4490327
2006,42,4,AR,Arkansas,0.389,0.387,0.364,780409.0,774680.0,2004193,2130080
2006,71,5,CA,California,0.41200000000000003,0.402,0.322,8899059.0,8679416.0,21582217,26739781
2006,62,6,CO,Colorado,0.48100000000000004,0.473,0.431,1586105.0,1558405.0,3297308,3569901
2006,1,7,CT,Connecticut,0.47700000000000004,0.466,0.425,1162391.0,1134780.0,2437559,2683538
2006,11,8,DE,Delaware,0.429,0.423,0.39,258053.0,254099.0,601341,659410
2006,55,9,DC,District of Columbia,0.287,0.28300000000000003,0.255,122356.0,120620.0,426612,466827
2006,43,10,FL,Florida,0.401,0.396,0.34299999999999997,4884544.0,4829270.0,12187858,14211669
2006,44,11,GA,Georgia,0.35100000000000003,0.34700000000000003,0.307,2143845.0,2122258.0,6115331,6799654
2006,82,12,HI,Hawaii,0.384,0.379,0.34600000000000003,348988.0,344315.0,908925,1012975
2006,63,13,ID,Idaho,0.462,0.45399999999999996,0.42,458927.0,450832.0,993010,1072895
2006,21,14,IL,Illinois,0.414,0.402,0.363,3586292.0,3486671.0,8667453,9483856
2006,22,15,IN,Indiana,0.377,0.366,0.35200000000000004,1719351.0,1666922.0,4559294,4743856
2006,31,16,IA,Iowa,0.49200000000000005,0.48100000000000004,0.46299999999999997,1071509.0,1048033.0,2178322,2267991
2006,32,17,KS,Kansas,0.44299999999999995,0.436,0.41100000000000003,864083.0,849700.0,1948850,2062668
2006,51,18,KY,Kentucky,0.442,0.40399999999999997,0.39,1370062.0,1253526.0,3100828,3218000
2006,45,19,LA,Louisiana,0.314,0.297,0.28300000000000003,954896.0,902498.0,3043573,3239317
2006,52,21,MD,Maryland,0.47200000000000003,0.467,0.42200000000000004,1809237.0,1788316.0,3833349,4261205
2006,3,22,MA,Massachusetts,0.493,0.488,0.444,2243835.0,2219779.0,4552794,4970780
2006,23,23,MI,Michigan,0.528,0.521,0.499,3852008.0,3801256.0,7292624,7532918
2006,33,24,MN,Minnesota,0.605,0.601,0.564,2217552.0,2202987.0,3667707,3896561
2006,34,26,MO,Missouri,0.512,0.5,0.48100000000000004,2178278.0,2128459.0,4253541,4427266
2006,64,27,MT,Montana,0.5710000000000001,0.564,0.556,411061.0,406505.0,720447,734669
2006,35,28,NE,Nebraska,0.488,0.47600000000000003,0.451,610499.0,596087.0,1251027,1325932
2006,65,29,NV,Nevada,0.371,0.369,0.311,586274.0,582572.0,1579222,1907976
2006,4,30,NH,New Hampshire,0.429,0.414,0.39899999999999997,418550.0,403531.0,975281,1006234
2006,12,31,NJ,New Jersey,0.406,0.395,0.341,2315643.0,2250070.0,5701033,6565183
2006,66,32,NM,New Mexico,0.431,0.425,0.386,568597.0,561084.0,1320285,1464560
2006,13,33,NY,New York,0.365,0.349,0.303,4703830.0,4490053.0,12878632,14665626
2006,47,34,NC,North Carolina,0.325,0.31,0.287,2036451.0,1940808.0,6264630,6799585
2006,36,35,ND,North Dakota,0.45399999999999996,0.449,0.441,220479.0,218152.0,486142,503647
2006,24,36,OH,Ohio,0.495,0.475,0.46299999999999997,4184072.0,4022754.0,8461211,8687609
2006,72,38,OR,Oregon,0.532,0.525,0.484,1399650.0,1379475.0,2628937,2829482
