Year,State,Median Income,Number Employed,Number Unemployed,Number Poverty,Number Families in Poverty,Median Age,Population,Pop: White Only,Pop: Black Only,Pop: American Indian Only,Pop: Native Hawaiian Only,Pop: Two or More Races,Pop: Hispanic Origin,Median Home Value,Median Gross Rent,Commute Time: Public Transit,Commute Time: Solo Auto,Commute Time: Walking,Transit: Solo Auto,Transit: Public Transit,Transit: Walking,state,Unemployment Rate,Poverty Rate,Pop Rate: White Only,Pop Rate: Black Only,Pop Rate: American Indian Only,Pop Rate: Native Hawaiian Only,Pop Rate: Two or More Races,Pop Rate: Hispanic Origin,ICPSR State Code,Alphanumeric State Code,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP)
2016,Vermont,57677.0,324824,13267,71329,11826,43.1,624594.0,589379.0,7893.0,9406.0,252.0,3163.0,12324.0,223700.0,925.0,5634125.0,157355.0,220270.0,240282.0,4914.0,18885.0,50,0.039240914428363964,0.114200584699821,0.943619375146095,0.01263700900104708,0.015059382574920668,0.0004034620889729969,0.005064089632625353,0.019731217398822276,6,46,0.648,0.637,0.623,320467.0,315067.0,494871,506048
2016,Washington,67106.0,3496141,200134,805691,127482,37.7,7288000.0,5516602.0,266977.0,597215.0,48182.0,350251.0,414136.0,306400.0,1135.0,64974980.0,10694060.0,1846140.0,2492872.0,220132.0,129410.0,53,0.054144780894278696,0.11055035675082327,0.7569431942919869,0.03663240944017563,0.08194497804610318,0.006611141602634468,0.04805858946212953,0.05682436882546652,73,48,0.657,0.647,0.583,3363440.0,3317019.0,5123020,5691833
2016,Wyoming,59882.0,287583,17000,64663,9154,37.2,585501.0,538819.0,5970.0,6012.0,420.0,5782.0,15304.0,209500.0,840.0,,,,221126.0,4322.0,13105.0,56,0.05581401457074098,0.11044046039204032,0.9202699909991614,0.01019639590709495,0.010268129345637325,0.0007173343854237653,0.009875303372667168,0.026138298653631677,68,51,0.602,0.595,0.573,258788.0,255849.0,429682,446396
2016,Alabama,46257.0,2078325,140963,810231,153533,39.0,4863300.0,3316384.0,1301102.0,65611.0,1503.0,70333.0,83858.0,136200.0,743.0,43185195.0,289850.0,276090.0,1768180.0,6334.0,23875.0,01,0.06351721813482522,0.1666010733452594,0.6819205066518619,0.26753480147225134,0.013491045175086876,0.0003090494108938375,0.014461990829272305,0.01724302428392244,41,1,0.591,0.588,0.563,2134061.0,2123372.0,3609447,3770142
2016,Alaska,76440.0,357098,30964,71566,11031,33.5,741894.0,477895.0,23753.0,45580.0,9937.0,12712.0,63961.0,267800.0,1208.0,,,,250492.0,4381.0,27628.0,02,0.07979137354340286,0.09646391533022237,0.6441553645129897,0.03201670319479602,0.06143734819259894,0.013394096730799818,0.017134523260735363,0.08621312478602064,81,2,0.615,0.61,0.574,321271.0,318608.0,522679,555367
2016,Arizona,53558.0,3031781,210851,1107464,196536,37.5,6931071.0,5254944.0,299674.0,220438.0,14140.0,585948.0,249680.0,205900.0,976.0,56179550.0,2824660.0,672880.0,2289515.0,55372.0,54823.0,04,0.06502464664507104,0.15978252134482535,0.7581720054519713,0.04323631946635664,0.03180431999614489,0.0020400887539602465,0.08453931578539593,0.03602329279270116,61,3,0.561,0.5489999999999999,0.489,2661497.0,2604657.0,4740310,5331034
2016,Arkansas,44334.0,1282676,69030,499225,92514,38.0,2988248.0,2290066.0,464516.0,41781.0,8808.0,86797.0,77421.0,123300.0,701.0,,,,1050898.0,4247.0,25456.0,05,0.05106879750478285,0.1670627739063157,0.7663574107637653,0.15544760675820748,0.013981771258610396,0.002947546522243134,0.02904611665430714,0.025908492200111904,42,4,0.532,0.528,0.494,1137772.0,1130635.0,2140097,2286625
2016,California,67739.0,18343258,1277331,5525524,929253,36.4,39250017.0,23420234.0,2265280.0,5602074.0,150521.0,5642125.0,1879650.0,477500.0,1375.0,370438555.0,46819920.0,6410790.0,13186177.0,910353.0,481638.0,06,0.06510156244544953,0.14077762055491594,0.5966936014320707,0.05771411513019217,0.14272793818152996,0.0038349282753176897,0.14374834538288225,0.04788915123272431,71,5,0.5820000000000001,0.565,0.47,14610509.0,14181595.0,25104844,30201571
2016,Colorado,65685.0,2827340,140434,598736,94425,36.7,5540545.0,4654921.0,234142.0,175951.0,8325.0,228102.0,184361.0,314200.0,1171.0,51570915.0,3545785.0,1003275.0,2107958.0,81991.0,84470.0,08,0.04731964091605358,0.10806445936275222,0.8401557969477732,0.04225974159581774,0.03175698419559809,0.0015025597662323832,0.04116959613178848,0.03327488541289711,62,6,0.7190000000000001,0.7,0.6459999999999999,2859216.0,2780247.0,3974405,4305728
2016,Connecticut,73433.0,1811769,123884,339128,60300,40.9,3576452.0,2741892.0,378932.0,161950.0,1259.0,171008.0,111524.0,274600.0,1115.0,34413220.0,5275605.0,558555.0,1387240.0,88162.0,48896.0,09,0.0640011407003218,0.09482246651150358,0.7666514187804002,0.1059519322501742,0.04528230771725721,0.00035202485591865907,0.047814985354200194,0.03118285943722997,1,7,0.649,0.637,0.583,1675955.0,1644920.0,2582761,2821935
